net,length_um
_0566_,7.7µm
_0449_,7.68µm
net151,7.68µm
_0174_,7.66µm
_0597_,7.66µm
_0138_,7.64µm
_0187_,7.64µm
_0195_,7.64µm
_0317_,7.64µm
_0600_,7.62µm
net159,7.56µm
net177,7.56µm
_0480_,7.54µm
_0302_,7.52µm
_0328_,7.46µm
_0539_,7.46µm
_0249_,7.44µm
_0632_,7.44µm
_0141_,7.4µm
_0587_,7.4µm
_0690_,7.36µm
_0164_,7.32µm
_0512_,7.32µm
_0674_,7.32µm
_0236_,7.28µm
_0453_,7.22µm
net181,7.22µm
_0434_,7.2µm
_0105_,7.18µm
_0225_,7.12µm
_0594_,7.12µm
_0113_,7.1µm
_0661_,7.06µm
_0182_,6.98µm
core_b\[1\],6.98µm
net40,6.98µm
_0254_,6.94µm
_0367_,6.94µm
net25,6.94µm
_0128_,6.9µm
net30,6.82µm
_0216_,6.785µm
_0377_,6.75µm
_0510_,6.74µm
_0625_,6.74µm
_0454_,6.72µm
_0579_,6.72µm
net171,6.72µm
addr[1],6.65µm
_0288_,6.64µm
_0333_,6.64µm
_0418_,6.64µm
_0490_,6.64µm
core_b\[6\],6.64µm
net174,6.64µm
_0283_,6.62µm
_0429_,6.62µm
net6,6.6µm
net4,6.54µm
_0096_,6.52µm
_0244_,6.52µm
_0354_,6.52µm
_0375_,6.52µm
net50,6.52µm
_0032_,6.485µm
_0622_,6.48µm
_0567_,6.44µm
_0448_,6.405µm
_0435_,6.4µm
_0153_,6.36µm
addr[0],6.31µm
wdata[2],6.31µm
_0142_,6.3µm
net20,6.3µm
net178,6.3µm
_0504_,6.28µm
_0269_,6.26µm
_0553_,6.26µm
net140,6.26µm
_0359_,6.24µm
_0391_,6.18µm
_0556_,6.18µm
core_a\[6\],6.18µm
net168,6.18µm
_0277_,6.14µm
_0621_,6.14µm
net137,6.14µm
rdata[24],6.09µm
_0239_,6.06µm
_0247_,6.06µm
net153,6.06µm
_0257_,6.04µm
_0066_,6.005µm
addr[6],5.97µm
wdata[0],5.97µm
_0324_,5.94µm
_0685_,5.92µm
_0067_,5.905µm
_0485_,5.86µm
_0540_,5.86µm
_0666_,5.86µm
net122,5.86µm
_0123_,5.84µm
_0246_,5.84µm
net141,5.84µm
net143,5.84µm
net144,5.84µm
net145,5.84µm
net160,5.84µm
net161,5.84µm
net164,5.84µm
net165,5.84µm
net173,5.84µm
_0073_,5.815µm
_0139_,5.8µm
net26,5.8µm
net33,5.8µm
net149,5.8µm
_0039_,5.765µm
rdata[2],5.75µm
rdata[3],5.75µm
rdata[5],5.75µm
_0161_,5.74µm
_0287_,5.74µm
_0680_,5.72µm
_0688_,5.72µm
_0135_,5.68µm
_0651_,5.68µm
addr[2],5.63µm
wdata[4],5.63µm
write,5.63µm
_0054_,5.62µm
_0396_,5.62µm
net129,5.6µm
_0027_,5.58µm
_0593_,5.48µm
net119,5.48µm
_0022_,5.475µm
_0030_,5.475µm
_0172_,5.4µm
_0546_,5.4µm
_0219_,5.34µm
_0644_,5.34µm
_0675_,5.34µm
net29,5.34µm
_0012_,5.305µm
_0683_,5.3µm
addr[3],5.29µm
net117,5.29µm
_0095_,5.28µm
_0568_,5.28µm
_0628_,5.28µm
_0106_,5.26µm
_0386_,5.26µm
_0634_,5.26µm
_0671_,5.26µm
_0065_,5.245µm
_0668_,5.24µm
_0433_,5.16µm
_0552_,5.15µm
_0087_,5.14µm
_0392_,5.14µm
_0672_,5.14µm
rdata[0],5.07µm
rdata[19],5.07µm
rdata[1],5.07µm
rdata[4],5.07µm
valid,5.07µm
_0156_,5.02µm
_0596_,5.02µm
addr[5],4.95µm
wdata[1],4.95µm
wdata[3],4.95µm
_0664_,4.94µm
net176,4.94µm
_0149_,4.92µm
_0325_,4.9µm
_0623_,4.9µm
_0117_,4.88µm
_0304_,4.88µm
_0395_,4.88µm
_0588_,4.88µm
_0652_,4.88µm
_0055_,4.845µm
_0384_,4.82µm
_0094_,4.8µm
_0689_,4.8µm
_0610_,4.76µm
net182,4.76µm
rdata[18],4.73µm
rdata[22],4.73µm
_0258_,4.68µm
_0526_,4.68µm
_0050_,4.625µm
addr[4],4.61µm
addr[7],4.61µm
wdata[5],4.61µm
_0355_,4.58µm
_0641_,4.58µm
_0191_,4.56µm
_0251_,4.56µm
_0132_,4.48µm
_0573_,4.48µm
net127,4.48µm
_0397_,4.46µm
_0544_,4.46µm
net56,4.46µm
_0365_,4.44µm
_0137_,4.42µm
_0193_,4.42µm
_0266_,4.42µm
_0648_,4.42µm
rdata[15],4.39µm
rdata[17],4.39µm
rdata[9],4.39µm
_0011_,4.385µm
_0176_,4.36µm
_0636_,4.36µm
_0444_,4.34µm
_0155_,4.32µm
net155,4.14µm
_0339_,4.12µm
_0126_,4.02µm
_0687_,4.02µm
net180,4.02µm
_0091_,4µm
_0130_,4µm
_0260_,4µm
_0421_,4µm
_0461_,4µm
_0468_,4µm
_0536_,3.98µm
_0015_,3.925µm
_0069_,3.92µm
_0516_,3.9µm
_0241_,3.88µm
net170,3.88µm
_0017_,3.78µm
_0052_,3.78µm
_0535_,3.78µm
_0034_,3.705µm
_0051_,3.705µm
_0122_,3.68µm
_0134_,3.68µm
net146,3.68µm
net154,3.68µm
_0197_,3.64µm
_0669_,3.56µm
net128,3.56µm
net148,3.56µm
net157,3.56µm
_0092_,3.54µm
_0334_,3.54µm
_0659_,3.54µm
net45,3.54µm
_0093_,3.44µm
_0098_,3.44µm
_0381_,3.44µm
_0438_,3.44µm
_0514_,3.44µm
_0595_,3.42µm
_0019_,3.32µm
_0037_,3.32µm
_0677_,3.32µm
net121,3.3µm
_0129_,3.22µm
_0443_,3.22µm
_0629_,3.22µm
_0329_,3.18µm
_0376_,3.18µm
_0024_,3.175µm
_0074_,3.125µm
_0256_,3.1µm
_0390_,3.1µm
net162,3.1µm
_0145_,3.08µm
_0150_,3.08µm
_0220_,3.08µm
_0298_,3.08µm
_0496_,3.08µm
_0545_,3.08µm
_0585_,3.08µm
_0613_,3.08µm
_0639_,3.08µm
_0043_,3.065µm
_0079_,3.055µm
_0437_,2.98µm
_0463_,2.98µm
_0616_,2.98µm
_0369_,2.96µm
_0581_,2.96µm
_0630_,2.96µm
_0072_,2.885µm
_0076_,2.885µm
_0046_,2.86µm
_0471_,2.86µm
_0063_,2.785µm
_0127_,2.76µm
_0584_,2.76µm
net166,2.76µm
_0023_,2.715µm
_0346_,2.64µm
_0608_,2.64µm
_0143_,2.62µm
_0378_,2.62µm
_0420_,2.62µm
_0428_,2.62µm
_0464_,2.62µm
_0626_,2.62µm
net34,2.62µm
net125,2.62µm
net136,2.62µm
net138,2.62µm
net147,2.62µm
_0064_,2.605µm
_0075_,2.545µm
_0442_,2.52µm
net134,2.52µm
_0189_,2.5µm
_0678_,2.5µm
core_b\[5\],2.5µm
_0057_,2.425µm
_0222_,2.4µm
_0691_,2.4µm
_0525_,2.38µm
_0060_,2.375µm
_0035_,2.325µm
_0036_,2.325µm
_0048_,2.325µm
_0124_,2.3µm
_0475_,2.3µm
_0663_,2.3µm
_0603_,2.245µm
_0109_,2.18µm
_0631_,2.18µm
net167,2.18µm
_0097_,2.16µm
_0136_,2.16µm
_0146_,2.16µm
_0177_,2.16µm
_0349_,2.16µm
_0393_,2.16µm
_0569_,2.16µm
_0612_,2.16µm
_0656_,2.16µm
_0026_,2.125µm
_0047_,2.125µm
_0049_,2.125µm
_0000_,2.085µm
_0040_,2.085µm
_0078_,2.085µm
_0031_,2.08µm
_0070_,2.08µm
_0152_,2.06µm
_0162_,2.06µm
_0506_,2.06µm
_0647_,2.06µm
_0147_,2.04µm
_0006_,2.025µm
_0033_,2.025µm
_0013_,1.865µm
_0016_,1.865µm
_0038_,1.865µm
_0041_,1.84µm
_0082_,1.84µm
_0606_,1.84µm
net118,1.84µm
net135,1.84µm
net139,1.84µm
_0387_,1.82µm
net7,1.82µm
_0107_,1.72µm
_0173_,1.72µm
_0151_,1.7µm
_0290_,1.7µm
_0422_,1.7µm
_0495_,1.7µm
_0509_,1.7µm
_0515_,1.7µm
_0558_,1.7µm
net142,1.7µm
net152,1.7µm
_0001_,1.685µm
_0002_,1.685µm
_0004_,1.685µm
_0007_,1.685µm
_0010_,1.685µm
_0018_,1.685µm
_0020_,1.685µm
_0025_,1.685µm
_0028_,1.685µm
_0029_,1.685µm
_0042_,1.685µm
_0044_,1.685µm
_0045_,1.685µm
_0053_,1.685µm
_0059_,1.685µm
_0061_,1.685µm
_0062_,1.685µm
_0068_,1.685µm
_0071_,1.685µm
_0080_,1.685µm
_0108_,1.6µm
_0425_,1.6µm
_0557_,1.6µm
_0014_,1.575µm
_0021_,1.575µm
_0003_,1.405µm
_0005_,1.405µm
_0008_,1.405µm
_0009_,1.405µm
_0056_,1.405µm
_0077_,1.405µm
_0489_,1.38µm
net163,1.38µm
_0163_,1.26µm
_0196_,1.26µm
_0252_,1.26µm
_0291_,1.26µm
_0530_,1.26µm
_0565_,1.26µm
_0617_,1.26µm
_0637_,1.26µm
_0104_,1.14µm
_0160_,1.14µm
_0170_,1.14µm
_0303_,1.14µm
_0529_,1.14µm
core_a\[2\],1.14µm
core_a\[4\],1.14µm
_0110_,1.03µm
_0415_,0.92µm
net184,0.92µm
_0499_,0.46µm
net185,0.46µm
