Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_58_141,VGND,li1,72.2200,168.6400,0.000054
FILLER_58_132,VGND,li1,68.0800,168.6400,0.000050
FILLER_58_120,VGND,li1,63.4800,168.6400,0.000046
FILLER_58_108,VGND,li1,57.9600,168.6400,0.000040
FILLER_58_97,VGND,li1,50.6000,168.6400,0.000034
FILLER_58_85,VGND,li1,47.3800,168.6400,0.000031
FILLER_58_83,VGND,li1,43.9300,168.6400,0.000026
FILLER_58_77,VGND,li1,42.3200,168.6400,0.000026
FILLER_58_65,VGND,li1,38.1800,168.6400,0.000022
FILLER_58_53,VGND,li1,32.6600,168.6400,0.000017
FILLER_58_41,VGND,li1,27.1400,168.6400,0.000012
FILLER_58_29,VGND,li1,21.6200,168.6400,0.000010
FILLER_58_27,VGND,li1,18.1700,168.6400,0.000010
FILLER_58_15,VGND,li1,15.1800,168.6400,0.000010
FILLER_58_3,VGND,li1,9.6600,168.6400,0.000010
FILLER_57_405,VGND,li1,192.2800,168.6400,0.000015
FILLER_57_393,VGND,li1,189.0600,168.6400,0.000015
FILLER_57_391,VGND,li1,185.6100,168.6400,0.000015
FILLER_57_385,VGND,li1,184.0000,168.6400,0.000015
FILLER_57_373,VGND,li1,179.8600,168.6400,0.000015
FILLER_57_361,VGND,li1,174.3400,168.6400,0.000023
FILLER_57_349,VGND,li1,168.8200,168.6400,0.000029
FILLER_57_337,VGND,li1,163.3000,168.6400,0.000037
FILLER_57_333,VGND,li1,159.3900,168.6400,0.000043
FILLER_57_325,VGND,li1,156.8600,168.6400,0.000048
FILLER_57_313,VGND,li1,152.2600,168.6400,0.000054
FILLER_57_304,VGND,li1,145.8200,168.6400,0.000063
FILLER_57_293,VGND,li1,140.5300,168.6400,0.000071
FILLER_57_281,VGND,li1,137.5400,168.6400,0.000073
FILLER_57_279,VGND,li1,134.0900,168.6400,0.000077
FILLER_57_275,VGND,li1,132.9400,168.6400,0.000077
FILLER_57_266,VGND,li1,128.5700,168.6400,0.000080
FILLER_57_241,VGND,li1,116.6100,168.6400,0.000082
FILLER_57_235,VGND,li1,115.0000,168.6400,0.000082
FILLER_57_225,VGND,li1,109.4800,168.6400,0.000080
FILLER_57_220,VGND,li1,107.6400,168.6400,0.000080
FILLER_57_208,VGND,li1,103.9600,168.6400,0.000079
FILLER_57_199,VGND,li1,97.2900,168.6400,0.000076
FILLER_57_193,VGND,li1,95.6800,168.6400,0.000074
FILLER_57_181,VGND,li1,91.5400,168.6400,0.000070
FILLER_57_169,VGND,li1,86.0200,168.6400,0.000066
FILLER_57_167,VGND,li1,82.5700,168.6400,0.000063
FILLER_57_161,VGND,li1,80.9600,168.6400,0.000061
FILLER_57_149,VGND,li1,76.8200,168.6400,0.000058
FILLER_57_137,VGND,li1,71.3000,168.6400,0.000052
FILLER_57_125,VGND,li1,65.7800,168.6400,0.000048
FILLER_57_113,VGND,li1,60.2600,168.6400,0.000043
FILLER_57_111,VGND,li1,56.8100,168.6400,0.000039
FILLER_57_105,VGND,li1,54.0500,168.6400,0.000036
FILLER_57_93,VGND,li1,51.0600,168.6400,0.000034
FILLER_57_81,VGND,li1,45.5400,168.6400,0.000028
FILLER_57_69,VGND,li1,40.0200,168.6400,0.000024
FILLER_57_57,VGND,li1,34.5000,168.6400,0.000019
FILLER_57_54,VGND,li1,30.8200,168.6400,0.000015
FILLER_57_42,VGND,li1,27.6000,168.6400,0.000012
FILLER_57_30,VGND,li1,22.0800,168.6400,0.000010
FILLER_57_18,VGND,li1,16.5600,168.6400,0.000010
FILLER_57_6,VGND,li1,11.0400,168.6400,0.000010
FILLER_56_401,VGND,li1,191.3600,163.2000,0.000007
FILLER_56_389,VGND,li1,187.2200,163.2000,0.000007
FILLER_56_377,VGND,li1,181.7000,163.2000,0.000007
FILLER_56_365,VGND,li1,176.1800,163.2000,0.000009
FILLER_56_361,VGND,li1,172.2700,163.2000,0.000012
FILLER_56_333,VGND,li1,158.9300,163.2000,0.000016
FILLER_56_327,VGND,li1,157.3200,163.2000,0.000016
FILLER_56_313,VGND,li1,149.7300,163.2000,0.000017
FILLER_56_309,VGND,li1,148.5800,163.2000,0.000017
FILLER_56_307,VGND,li1,146.9700,163.2000,0.000018
FILLER_56_301,VGND,li1,145.3600,163.2000,0.000018
FILLER_56_289,VGND,li1,141.2200,163.2000,0.000018
FILLER_56_277,VGND,li1,135.7000,163.2000,0.000019
FILLER_56_265,VGND,li1,130.1800,163.2000,0.000020
FILLER_56_253,VGND,li1,124.6600,163.2000,0.000020
FILLER_56_243,VGND,li1,117.5300,163.2000,0.000021
FILLER_56_239,VGND,li1,116.3800,163.2000,0.000021
FILLER_56_227,VGND,li1,112.7000,163.2000,0.000022
FILLER_56_217,VGND,li1,106.0300,163.2000,0.000023
FILLER_56_209,VGND,li1,103.5000,163.2000,0.000023
FILLER_56_197,VGND,li1,98.9000,163.2000,0.000023
FILLER_56_194,VGND,li1,95.2200,163.2000,0.000024
FILLER_56_185,VGND,li1,91.0800,163.2000,0.000025
FILLER_56_177,VGND,li1,88.7800,163.2000,0.000025
FILLER_56_165,VGND,li1,84.1800,163.2000,0.000025
FILLER_56_153,VGND,li1,78.6600,163.2000,0.000026
FILLER_56_141,VGND,li1,73.1400,163.2000,0.000027
FILLER_56_139,VGND,li1,69.6900,163.2000,0.000024
FILLER_56_133,VGND,li1,68.0800,163.2000,0.000024
FILLER_56_121,VGND,li1,63.9400,163.2000,0.000023
FILLER_56_109,VGND,li1,58.4200,163.2000,0.000020
FILLER_56_97,VGND,li1,52.9000,163.2000,0.000018
FILLER_56_85,VGND,li1,47.3800,163.2000,0.000015
FILLER_56_83,VGND,li1,43.9300,163.2000,0.000013
FILLER_56_77,VGND,li1,42.3200,163.2000,0.000013
FILLER_56_65,VGND,li1,38.1800,163.2000,0.000011
FILLER_56_53,VGND,li1,32.6600,163.2000,0.000008
FILLER_56_41,VGND,li1,27.1400,163.2000,0.000006
FILLER_56_29,VGND,li1,21.6200,163.2000,0.000005
FILLER_56_26,VGND,li1,17.9400,163.2000,0.000005
FILLER_56_18,VGND,li1,15.6400,163.2000,0.000005
FILLER_56_6,VGND,li1,11.0400,163.2000,0.000005
FILLER_55_405,VGND,li1,192.2800,163.2000,0.000007
FILLER_55_393,VGND,li1,189.0600,163.2000,0.000007
FILLER_55_391,VGND,li1,185.6100,163.2000,0.000007
FILLER_55_385,VGND,li1,184.0000,163.2000,0.000007
FILLER_55_373,VGND,li1,179.8600,163.2000,0.000007
FILLER_55_361,VGND,li1,174.3400,163.2000,0.000010
FILLER_55_349,VGND,li1,168.8200,163.2000,0.000015
